PS C:\Users\vagrant> Get-WindowsFeature

Display Name                                            Name                       Install State
        [X] DNS Server Tools                            RSAT-DNS-Server                Installed
        [ ] Fax Server Tools                            RSAT-Fax                       Available
        [ ] File Services Tools                         RSAT-File-Services             Available
            [ ] DFS Management Tools                    RSAT-DFS-Mgmt-Con              Available
            [ ] File Server Resource Manager Tools      RSAT-FSRM-Mgmt                 Available
            [ ] Services for Network File System Man... RSAT-NFS-Admin                 Available
        [ ] Network Policy and Access Services Tools    RSAT-NPAS                      Available
        [ ] Print and Document Services Tools           RSAT-Print-Services            Available
        [ ] Remote Access Management Tools              RSAT-RemoteAccess              Available
            [ ] Remote Access GUI and Command-Line T... RSAT-RemoteAccess-Mgmt         Available
            [ ] Remote Access module for Windows Pow... RSAT-RemoteAccess-Po...        Available
        [ ] Volume Activation Tools                     RSAT-VA-Tools                  Available
        [ ] Windows Deployment Services Tools           WDS-AdminPack                  Available
[ ] RPC over HTTP Proxy                                 RPC-over-HTTP-Proxy            Available
[ ] Setup and Boot Event Collection                     Setup-and-Boot-Event...        Available
[ ] Simple TCP/IP Services                              Simple-TCPIP                   Available
[ ] SMB 1.0/CIFS File Sharing Support                   FS-SMB1                        Available
    [ ] SMB 1.0/CIFS Client                             FS-SMB1-CLIENT                 Available
    [ ] SMB 1.0/CIFS Server                             FS-SMB1-SERVER                 Available
[ ] SMB Bandwidth Limit                                 FS-SMBBW                       Available
[ ] SMTP Server                                         SMTP-Server                    Available
[ ] SNMP Service                                        SNMP-Service                   Available
    [ ] SNMP WMI Provider                               SNMP-WMI-Provider              Available
[ ] Storage Replica                                     Storage-Replica                Available
[ ] Telnet Client                                       Telnet-Client                  Available
[ ] TFTP Client                                         TFTP-Client                    Available
[ ] VM Shielding Tools for Fabric Management            FabricShieldedTools            Available
[ ] WebDAV Redirector                                   WebDAV-Redirector              Available
[ ] Windows Biometric Framework                         Biometric-Framework            Available
[X] Windows Defender Antivirus                          Windows-Defender               Installed
[ ] Windows Identity Foundation 3.5                     Windows-Identity-Fou...        Available
[ ] Windows Internal Database                           Windows-Internal-Dat...        Available
[X] Windows PowerShell                                  PowerShellRoot                 Installed
    [X] Windows PowerShell 5.1                          PowerShell                     Installed
    [X] Windows PowerShell 2.0 Engine                   PowerShell-V2                  Installed
    [ ] Windows PowerShell Desired State Configurati... DSC-Service                    Available
    [X] Windows PowerShell ISE                          PowerShell-ISE                 Installed
    [ ] Windows PowerShell Web Access                   WindowsPowerShellWeb...        Available
[ ] Windows Process Activation Service                  WAS                            Available
    [ ] Process Model                                   WAS-Process-Model              Available
    [ ] .NET Environment 3.5                            WAS-NET-Environment            Available
    [ ] Configuration APIs                              WAS-Config-APIs                Available
[ ] Windows Search Service                              Search-Service                 Available
[ ] Windows Server Backup                               Windows-Server-Backup          Available
[ ] Windows Server Migration Tools                      Migration                      Available
[ ] Windows Standards-Based Storage Management          WindowsStorageManage...        Available
[ ] Windows Subsystem for Linux                         Microsoft-Windows-Su...        Available
[ ] Windows TIFF IFilter                                Windows-TIFF-IFilter           Available
[ ] WinRM IIS Extension                                 WinRM-IIS-Ext                  Available
[ ] WINS Server                                         WINS                           Available
[ ] Wireless LAN Service                                Wireless-Networking            Available
[X] WoW64 Support                                       WoW64-Support                  Installed
[X] XPS Viewer                                          XPS-Viewer                     Installed
